http://cloc.sourceforge.net v 1.60  T=1.26 s (236.2 files/s, 34733.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\scripts\ScriptLibrary.as                                         6              7             31
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestRemoveSequential.as                              7             14             31
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestRemove.as                                        7             14             31
C:\dev\VoxelVerse\src\com\voxelengine\events\LoadingEvent.as                                                      8             12             30
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowModelTemplate.as                                                  8              0             30
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\properties\SoundShortcuts.as                             19             45             29
C:\dev\VoxelVerse\src\com\voxelengine\events\ShipEvent.as                                                         8             11             29
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Manifest.as                                                      5             11             28
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\SpecialProperty.as                                        5             17             27
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\scripts\AutoControlObjectScript.as                               2              4             27
C:\dev\VoxelVerse\src\com\voxelengine\events\TransformEvent.as                                                    8             11             27
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\mxml-tags.html                                             17              1             27
C:\dev\VoxelVerse\src\com\voxelengine\events\OxelEvent.as                                                         8             12             26
C:\dev\VoxelVerse\src\com\voxelengine\events\LoginEvent.as                                                        6             12             26
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestLandScape.as                                     8             14             26
C:\dev\VoxelVerse\src\com\voxelengine\renderer\shaders\ShaderLibrary.as                                           6              8             26
C:\dev\VoxelVerse\src\com\voxelengine\GUI\layerDataComponents\LayerTypeData.as                                    6             23             26
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Wings.as                                                         5             30             26
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\index.html                                                 20             17             26
